id,title,source,job_url,url_status,url_message
labor_timviec365_2063772,Chuyên viên Điều hành Đội xe,TimViec365,https://timviec365.vn/chuyen-vien-djieu-hanh-djoi-xe-p2063772.html,working,OK (200)
labor_timviec365_2063722,Tuyển Nhân Viên Lái Xe,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-p2063722.html,working,OK (200)
labor_timviec365_2063694,Nhân viên Lái xe,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-p2063694.html,working,OK (200)
labor_timviec365_2063556,Nhân viên giao hàng tại Hà Nội,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-lam-viec-tai-ha-noi-p2063556.html,working,OK (200)
labor_timviec365_2063455,TÀI XẾ LÁI XE CUỐC,TimViec365,https://timviec365.vn/tai-xe-lai-xe-cuoc-p2063455.html,working,OK (200)
labor_timviec365_2063178,Tài Xế Xe Bồn - Đi Làm Ngay,TimViec365,https://timviec365.vn/tai-xe-xe-bon-dji-lam-ngay-p2063178.html,working,OK (200)
labor_timviec365_2062899,Nhân Viên Tài Xế,TimViec365,https://timviec365.vn/nhan-vien-tai-xe-p2062899.html,working,OK (200)
labor_timviec365_2062930,Nhân viên lái xe nâng,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-nang-p2062930.html,working,OK (200)
labor_timviec365_2062719,Tài Xế Lái Xe Văn Phòng Viettiep Crystal,TimViec365,https://timviec365.vn/tai-xe-lai-xe-van-phong-viettiep-crystal-p2062719.html,working,OK (200)
labor_timviec365_2062698,Tài xế chuyển nhà,TimViec365,https://timviec365.vn/tai-xe-chuyen-nha-p2062698.html,working,OK (200)
labor_timviec365_2062670,Tuyển nhân viên lái xe,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-p2062670.html,working,OK (200)
labor_timviec365_2063050,Nhân viên Lái xe nâng - KCN VSIP Bắc Ninh,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-nang-kcn-vsip-bac-ninh-p2063050.html,working,OK (200)
labor_timviec365_2062450,Nhân viên điều độ vận tải,TimViec365,https://timviec365.vn/nhan-vien-djieu-djo-van-tai-p2062450.html,working,OK (200)
labor_timviec365_2062425,Tài xế Giao hàng tại Hà Nội,TimViec365,https://timviec365.vn/tai-xe-giao-hang-tai-ha-noi-p2062425.html,working,OK (200)
labor_timviec365_2062307,Tuyển tài xế xe tải,TimViec365,https://timviec365.vn/tuyen-tai-xe-xe-tai-p2062307.html,working,OK (200)
labor_timviec365_2062271,Nhân Viên Lái Xe,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-p2062271.html,working,OK (200)
labor_timviec365_2061671,TUYỂN TÀI XẾ XE TẢI,TimViec365,https://timviec365.vn/tuyen-tai-xe-lai-xe-p2061671.html,working,OK (200)
labor_timviec365_2061918,Tuyển Nhân Viên Lái Xe B2 Đến D,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-b2-djen-d-p2061918.html,working,OK (200)
labor_timviec365_2062114,chuyên viên hành chính phụ trách quản lý phương tiện vận tải,TimViec365,https://timviec365.vn/chuyen-vien-hanh-chinh-phu-trach-quan-ly-phuong-tien-van-tai-p2062114.html,working,OK (200)
labor_timviec365_2062076,nhân viên giao hàng,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-p2062076.html,working,OK (200)
labor_timviec365_2062055,nhân viên phụ xe,TimViec365,https://timviec365.vn/nhan-vien-phu-xe-p2062055.html,working,OK (200)
labor_timviec365_2062031,tuyển nhân viên lái xe trộn,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-tron-p2062031.html,working,OK (200)
labor_timviec365_2061949,nhân viên giao hàng xe tải nước uống đóng bình,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-xe-tai-nuoc-uong-djong-binh-p2061949.html,working,OK (200)
labor_timviec365_2061826,tuyển nhanh _ lái xe tải và phụ xe giao nhận bánh kẹo,TimViec365,https://timviec365.vn/tuyen-nhanh-lai-xe-tai-va-phu-xe-giao-nhan-banh-keo-p2061826.html,working,OK (200)
labor_timviec365_2061819,tuyển tài xế,TimViec365,https://timviec365.vn/tuyen-tai-xe-p2061819.html,working,OK (200)
labor_timviec365_2061670,Nhân viên giao hàng xe tải van 500kg - Mặt hàng trái cây - Đi làm ngay,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-xe-tai-van-500kg-mat-hang-trai-cay-dji-lam-ngay-p2061670.html,working,OK (200)
labor_timviec365_2060724,Tài xế lái xe,TimViec365,https://timviec365.vn/tai-xe-lai-xe-p2060724.html,working,OK (200)
labor_timviec365_2060723,Tuyển Nhân Viên Hiện Trường OPS,TimViec365,https://timviec365.vn/tuyen-nhan-vien-hien-truong-ops-p2060723.html,working,OK (200)
labor_timviec365_2061179,Tuyển Lái Xe B2,TimViec365,https://timviec365.vn/tuyen-lai-xe-b2-p2061179.html,working,OK (200)
labor_timviec365_2060612,Tuyển nhân viên giao hàng bằng xe máy,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-bang-xe-may-p2060612.html,working,OK (200)
labor_timviec365_2060547,Nhân Viên Lái Xe,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-p2060547.html,working,OK (200)
labor_timviec365_2060287,Tuyển lái xe cho giám đốc tại Hà Nội,TimViec365,https://timviec365.vn/tuyen-lai-xe-cho-giam-djoc-ha-noi-p2060287.html,working,OK (200)
labor_timviec365_2060271,Tuyển Nhân viên Giao hàng Hỏa tốc,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-hoa-toc-p2060271.html,working,OK (200)
labor_timviec365_2060199,Nhân viên lái xe chở hàng,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-cho-hang-p2060199.html,working,OK (200)
labor_timviec365_2060027,Tuyển Tài xế BGĐ,TimViec365,https://timviec365.vn/tuyen-tai-xe-bgdj-p2060027.html,working,OK (200)
